tau_Q,T,<Q^2>,Error <Q^2>,<|Q|>,Error <|Q|>
0,4.0000000000000000,3.2613500000000011,0.0147581182931822,1.3979500000000002,0.0036490257451664
1,3.8666666666666667,3.2722000000000002,0.0135663063015200,1.4027000000000001,0.0037885206728867
2,3.7333333333333334,3.2875900000000002,0.0125368208800227,1.4042299999999996,0.0039778567651997
3,3.6000000000000001,3.2250000000000001,0.0141179397300817,1.3904600000000003,0.0028367117113542
4,3.4666666666666668,3.2234700000000003,0.0222417577742607,1.3892099999999998,0.0051944297088321
5,3.3333333333333335,3.1585000000000001,0.0175289981966393,1.3735199999999999,0.0033144062649121
6,3.2000000000000002,3.1091909196857039,0.0142058435148861,1.3656905094853442,0.0037711686757412
7,3.0666666666666664,3.0822186115821268,0.0090036284198005,1.3583595509781152,0.0023054579058552
8,2.9333333333333336,3.0546305032371395,0.0140695022560121,1.3516503204715344,0.0038500939519659
9,2.7999999999999998,3.0306512115810174,0.0121854452776739,1.3457303459711327,0.0029730786854909
10,2.6666666666666670,2.9817700000000000,0.0149302753565442,1.3333900000000001,0.0039879108983695
11,2.5333333333333332,2.8991899999999999,0.0119521959860474,1.3146100000000001,0.0034283604763144
12,2.3999999999999999,2.8612799999999998,0.0084896250407972,1.3052600000000001,0.0024479106737514
13,2.2666666666666666,2.8209200000000001,0.0111549670052800,1.2933000000000001,0.0023339046919511
14,2.1333333333333333,2.7331199999999995,0.0110209779763669,1.2718799999999999,0.0027358037616433
15,2.0000000000000000,2.6697700000000002,0.0117094553436293,1.2567100000000000,0.0029793903179454
16,1.8666666666666667,2.5575299999999999,0.0109788893386856,1.2271900000000000,0.0025658635107026
17,1.7333333333333334,2.4582000000000002,0.0091853143658781,1.2011200000000000,0.0028587409816210
18,1.6000000000000001,2.3663900000000000,0.0100704567920234,1.1753900000000002,0.0032387737734453
19,1.4666666666666668,2.2343800000000007,0.0112670986110493,1.1391000000000002,0.0034416081512378
20,1.3333333333333335,2.1029000000000004,0.0106571207285187,1.1003200000000000,0.0025284074917711
21,1.2000000000000002,1.9663499999999998,0.0088620946859205,1.0619500000000002,0.0028080538931200
22,1.0666666666666669,1.7916200000000004,0.0065526551022382,1.0079400000000001,0.0026543967718149
23,0.9333333333333331,1.6099699999999999,0.0048083734833679,0.9474899999999999,0.0011213533490087
24,0.7999999999999998,1.4360899999999999,0.0039876601326258,0.8862700000000000,0.0020500433599751
25,0.6666666666666665,1.2285699999999997,0.0031810567775855,0.8073099999999999,0.0015872022905449
26,0.5333333333333332,1.0409100000000000,0.0058542947198332,0.7262300000000000,0.0025311854930052
27,0.3999999999999999,0.8687800000000001,0.0044993283449372,0.6469800000000001,0.0018235374657211
28,0.2666666666666666,0.7278700000000000,0.0027860784865709,0.5712900000000000,0.0018546308407755
29,0.1333333333333333,0.6186100000000000,0.0026788658462533,0.5073900000000000,0.0015669822377211
30,0.0000000000000000,0.5403800000000001,0.0022583081179404,0.4574999999999999,0.0014515126209885
