  TQ                     Temp           susceptibility                    error
   1       4.0000000000000000       3.2374999999999998       0.0471589564315962
   2       3.5555555555555554       3.2404999999999999       0.0476534999827510
   3       3.1111111111111112       3.2380000000000009       0.0469801161464222
   4       2.6666666666666670       3.2128999999999985       0.0456962512000423
   5       2.2222222222222223       3.1691999999999982       0.0463623584692179
   6       1.7777777777777777       3.1505000000000019       0.0454122252484967
   7       1.3333333333333335       3.0771000000000015       0.0460406704266276
   8       0.8888888888888888       2.9682000000000004       0.0439001115941611
   9       0.4444444444444446       2.5671999999999979       0.0401761475042448
  10       0.0000000000000000       0.8152999999999999       0.0193262552351495
